SK_ID_CURR,TARGET
100001,0.116
100005,0.208
100013,0.114
100028,0.176
100038,0.174
100042,0.158
100057,0.028
100065,0.136
100066,0.092
100067,0.3
100074,0.16
100090,0.136
100091,0.252
100092,0.258
100106,0.156
100107,0.24
100109,0.122
100117,0.09
100128,0.186
100141,0.062
100150,0.09
100168,0.062
100169,0.194
100170,0.134
100171,0.098
100172,0.162
100184,0.134
100187,0.122
100212,0.148
100222,0.136
100223,0.128
100232,0.034
100241,0.26
100245,0.072
100253,0.116
100256,0.184
100271,0.106
100278,0.302
100280,0.038
100306,0.248
100311,0.294
100312,0.102
100330,0.206
100331,0.072
100352,0.14
100358,0.208
100367,0.1
100382,0.274
100384,0.15
100385,0.168
100386,0.124
100399,0.104
100404,0.174
100416,0.134
100422,0.164
100426,0.108
100438,0.132
100444,0.232
100445,0.196
100446,0.238
100447,0.18
100450,0.124
100466,0.134
100483,0.09
100484,0.162
100494,0.148
100510,0.174
100512,0.092
100517,0.052
100548,0.124
100551,0.172
100552,0.192
100553,0.112
100561,0.23
100568,0.44
100569,0.13
100591,0.188
100592,0.098
100602,0.09
100607,0.122
100613,0.19
100617,0.234
100618,0.162
100622,0.186
100625,0.244
100677,0.21
100699,0.124
100702,0.386
100711,0.242
100729,0.272
100740,0.224
100744,0.186
100745,0.168
100747,0.192
100751,0.406
100752,0.154
100753,0.308
100754,0.238
100760,0.114
100762,0.106
100763,0.164
100765,0.076
100770,0.164
100772,0.096
100777,0.088
100791,0.104
100792,0.082
100797,0.066
100823,0.076
100826,0.164
100830,0.116
100836,0.328
100872,0.252
100910,0.158
100913,0.388
100918,0.172
100931,0.07
100952,0.106
100953,0.204
100965,0.36
100970,0.128
100982,0.214
100983,0.368
100984,0.158
100987,0.162
100997,0.066
100998,0.152
101002,0.156
101005,0.282
101008,0.178
101020,0.114
101021,0.094
101024,0.216
101025,0.216
101026,0.206
101031,0.102
101041,0.08
101051,0.062
101055,0.168
101056,0.316
101057,0.1
101064,0.188
101079,0.184
101087,0.092
101090,0.162
101092,0.222
101097,0.128
101099,0.092
101107,0.142
101118,0.096
101125,0.174
101126,0.132
101128,0.044
101136,0.23
101140,0.166
101149,0.126
101160,0.102
101169,0.242
101181,0.126
101186,0.112
101190,0.148
101193,0.166
101194,0.356
101198,0.204
101200,0.144
101204,0.092
101211,0.222
101213,0.154
101223,0.122
101225,0.126
101237,0.152
101243,0.058
101244,0.226
101258,0.166
101259,0.316
101268,0.214
101269,0.05
101271,0.154
101279,0.088
101281,0.184
101287,0.08
101292,0.112
101294,0.144
101296,0.144
101297,0.128
101299,0.232
101301,0.154
101305,0.232
101308,0.222
101318,0.08
101327,0.258
101329,0.092
101332,0.152
101337,0.154
101343,0.084
101345,0.038
101346,0.066
101353,0.12
101354,0.218
101355,0.306
101356,0.126
101362,0.148
101363,0.302
101365,0.052
101366,0.134
101367,0.232
101368,0.06
101374,0.248
101380,0.11
101383,0.12
101398,0.068
101399,0.326
101401,0.212
101412,0.164
101426,0.084
101427,0.446
101428,0.26
101429,0.228
101434,0.082
101440,0.108
101448,0.106
101449,0.126
101465,0.11
101467,0.054
101472,0.156
101478,0.316
101497,0.236
101504,0.272
101547,0.07
101548,0.196
101555,0.346
101570,0.162
101572,0.13
101578,0.092
101580,0.362
101588,0.26
101602,0.074
101610,0.26
101614,0.144
101616,0.118
101643,0.13
101644,0.12
101649,0.264
101650,0.152
101665,0.024
101667,0.14
101669,0.108
101674,0.178
101675,0.056
101678,0.15
101682,0.142
101686,0.176
101697,0.176
101700,0.368
101711,0.116
101714,0.136
101715,0.238
101728,0.128
101732,0.138
101757,0.248
101758,0.106
101759,0.102
101762,0.078
101764,0.122
101780,0.298
101784,0.04
101789,0.092
101816,0.112
101819,0.148
101827,0.02
101863,0.16
101867,0.202
101870,0.068
101873,0.206
101878,0.22
101879,0.2
101880,0.08
101887,0.132
101897,0.142
101901,0.15
101903,0.334
101920,0.144
101921,0.25
101922,0.138
101961,0.222
101962,0.134
101971,0.178
101976,0.24
102002,0.186
102005,0.138
102007,0.478
102017,0.068
102019,0.254
102029,0.042
102051,0.294
102052,0.038
102054,0.06
102062,0.13
102067,0.228
102068,0.2
102070,0.114
102090,0.206
102092,0.136
102099,0.208
102100,0.238
102112,0.12
102113,0.06
102122,0.272
102123,0.184
102125,0.116
102126,0.31
102146,0.11
102147,0.192
102151,0.124
102158,0.2
102159,0.154
102162,0.166
102165,0.158
102166,0.108
102174,0.12
102193,0.188
102198,0.224
102205,0.182
102206,0.068
102218,0.154
102221,0.086
102230,0.132
102238,0.212
102248,0.144
102252,0.396
102259,0.106
102262,0.236
102273,0.152
102286,0.192
102293,0.072
102294,0.094
102296,0.168
102298,0.162
102303,0.126
102309,0.116
102315,0.144
102340,0.094
102342,0.202
102344,0.116
102346,0.152
102347,0.122
102374,0.154
102380,0.082
102387,0.104
102393,0.112
102403,0.076
102413,0.116
102414,0.126
102415,0.12
102416,0.156
102439,0.212
102441,0.128
102443,0.074
102444,0.302
102445,0.222
102448,0.15
102449,0.136
102450,0.254
102456,0.048
102458,0.216
102459,0.124
102465,0.128
102470,0.298
102471,0.138
102475,0.116
102476,0.166
102506,0.298
102509,0.26
102519,0.088
102522,0.17
102545,0.096
102549,0.116
102562,0.066
102563,0.074
102568,0.172
102582,0.112
102592,0.098
102597,0.328
102605,0.146
102614,0.094
102617,0.148
102634,0.166
102652,0.078
102655,0.09
102671,0.074
102694,0.278
102701,0.104
102703,0.02
102704,0.088
102713,0.068
102720,0.206
102731,0.122
102733,0.07
102749,0.1
102755,0.084
102763,0.112
102770,0.08
102772,0.196
102799,0.238
102838,0.08
102854,0.142
102862,0.118
102863,0.126
102867,0.094
102868,0.076
102878,0.112
102887,0.094
102898,0.268
102904,0.086
102912,0.138
102919,0.082
102927,0.096
102932,0.084
102933,0.202
102935,0.152
102958,0.106
102969,0.16
102971,0.064
102975,0.098
102979,0.104
102982,0.1
102987,0.224
102989,0.21
102995,0.158
102996,0.176
103000,0.096
103001,0.216
